Abilene Christian University	1	61
Adelphi University	8	74
Agnes Scott College	10	68
Albion College	99	69
Allegheny College	14	73
American University	22	39
Amherst College	41	12
Appalachian State University	10	77
Arizona State University—Tempe	13	86
Auburn University	17	85
Augustana College	9	57
Austin College	12	49
Babson College	27	26
Baldwin Wallace University	6	70
Ball State University		69
Bard College	23	65
Barnard College	37	14
Bates College	21	14
Baylor University	20	68
Beloit College	10	58
Bennington College	24	60
Bentley University	23	47
Berea College	9	30
Berry College	9	71
Binghamton University—SUNY	32	43
Biola University	7	64
Birmingham-Southern College	11	54
Boise State University	96	81
Boston College	35	26
Boston University	34	20
Bowdoin College	34	9
Bradley University	9	73
Brandeis University	28	31
Brigham Young University—Provo	21	69
Brown University	44	8
Bryn Mawr College	26	38
Bucknell University	23	38
Butler University	16	76
California Institute of Technology	51	7
California Lutheran University	7	74
California State Polytechnic University— Pomona	3	55
California State Polytechnic University— San Luis Obispo	23	38
California State University—Chico	0	72
California State University—Fresno	95	58
California State University—Fullerton	1	68
California State University—Long Beach	2	42
California State University—Los Angeles	89	76
California State University—Monterey Bay	96	86
California State University—Northridge	90	66
California State University—Sacramento	92	83
California State University—San Bernardino	91	74
Carleton College	34	21
Carnegie Mellon University	46	17
Carroll College	7	78
Case Western Reserve University	35	27
Central Michigan University	1	69
Centre College	13	76
Chapman University	18	58
Christopher Newport University	10	76
Claremont McKenna College	33	13
Clark University	16	47
Clarkson University	16	75
Clemson University	23	62
Coe College	5	63
Colby College	38	10
Colgate University	30	27
College of Charleston	8	74
College of St. Benedict	4	80
College of the Holy Cross	30	38
College of William and Mary	30	42
College of Wooster	16	65
Colorado College	25	14
Colorado School of Mines	28	55
Colorado State University	8	84
Columbia University	50	6
Concordia College—Moorhead	95	68
Connecticut College	31	38
Cornell College	8	86
Cornell University	41	11
Creighton University	15	77
CUNY—Baruch College	13	43
CUNY—Hunter	15	35
Dartmouth College	43	9
Davidson College	31	20
Denison University	20	29
DePaul University	7	70
DePauw University	13	67
Dickinson College	25	52
Drake University	11	68
Drew University	12	73
Drexel University	19	77
Drury University	2	71
Duke University	48	8
Duquesne University	13	77
Earlham College	10	63
East Carolina	3	79
Eastern Michigan	98	75
Elmhurst College	98	66
Elon University	16	72
Embry-Riddle Aeronautical University	13	61
Emerson College	20	33
Emory University	40	19
Fairfield University	20	56
Florida Institute of Technology	15	70
Florida International	12	58
Florida State University	23	32
Fordham University	24	46
Franklin and Marshall College	24	37
Furman University	26	65
Gallaudet University	78	61
George Mason University	11	89
George Washington University	29	43
Georgetown University	38	17
Georgia Institute of Technology	38	21
Georgia Southern University	0	91
Georgia State	97	67
Gettysburg College	27	48
Gonzaga University	18	73
Goshen College	94	92
Goucher College	98	79
Grinnell College	37	23
Gustavus Adolphus College		69
Hamilton College	41	18
Hampden-Sydney College	6	57
Hampton University	3	36
Hanover College	3	65
Harvard College	46	5
Harvey Mudd College	49	18
Haverford College	36	18
Hendrix College	15	70
High Point University	9	74
Hillsdale College	27	36
Hobart and William Smith Colleges	19	66
Hofstra University	16	69
Hollins University	4	81
Hope College	13	86
Howard University	14	39
Humboldt State University	97	83
Illinois Institute of Technology	20	61
Illinois State	2	82
Illinois Wesleyan University	12	57
Indiana University—Bloomington	15	77
Iowa State University	4	88
Ithaca College	17	76
James Madison University	13	80
John Brown University	6	76
Johns Hopkins University	47	10
Kalamazoo College     -	15	74
Kansas State University		95
Kennesaw State University	5	75
Kent State	3	84
Kenyon College	28	37
Knox College	9	68
Lafayette College	27	36
Lake Forest College	10	58
Lawrence University	21	69
Lehigh University	28	50
Lewis & Clark College	22	80
Lipscomb University	9	62
Louisiana State University—Baton Rouge	8	73
Loyola Marymount University	23	50
Loyola University Chicago	17	71
Loyola University Maryland	15	80
Loyola University New Orleans	5	72
Luther College	4	62
Macalester College	29	39
Marist College	21	49
Marquette University	17	82
Massachusetts Institute of Technology	51	7
Mercer University	17	78
Miami University—Oxford	16	92
Michigan State University	11	76
Michigan Technological University	16	70
Middlebury College	34	22
Mills College		84
Millsaps College	8	69
Milwaukee School of Engineering	19	60
Mississippi State University	5	80
Missouri State University	6	87
Missouri University of Science & Technology	23	81
Montclair State	0	76
Morehouse College	1	58
Mount Holyoke College	32	52
Muhlenberg College	17	62
New College of Florida	19	70
New Jersey Institute of Technology	20	73
New School	15	57
New York University	39	21
North Carolina State University—Raleigh	25	46
Northeastern University	43	20
Northern Arizona University	4	82
Northwestern University	43	9
Oberlin College	27	35
Occidental College	29	41
Ohio State University—Columbus	23	68
Ohio University	5	87
Ohio Wesleyan University	8	67
Oklahoma State University	4	70
Old Dominion University	96	95
Oregon State University	8	84
Pacific Lutheran University	11	86
Pennsylvania State University— University Park	15	54
Pepperdine University	21	42
Pitzer College	33	17
Point Loma Nazarene University	12	84
Pomona College	39	9
Portland State	99	96
Pratt Institute	19	49
Presbyterian College (SC)	0	75
Princeton University	47	6
Providence College	21	54
Purdue University—West Lafayette	19	67
Queens University of Charlotte	5	68
Quinnipiac University	9	72
Randolph-Macon College	5	71
Reed College	30	42
Rensselaer Polytechnic Institute	33	43
Rhode Island School of Design	23	26
Rhodes College	25	51
Rice University	46	11
Ripon College	99	70
Rochester Institute of Technology	22	70
Rollins College	12	61
Rutgers The State University of New Jersey—New Brunswick	21	61
Rutgers The State University of New Jersey—Newark	2	72
Saint Louis University	17	58
Samford University	7	93
San Diego State University	11	37
San Francisco State University	94	84
San Jose State University	3	67
Santa Clara University	28	51
Sarah Lawrence College	24	53
Scripps College	32	35
Seattle University	13	83
Seton Hall University	15	74
Sewanee: The University of the South	16	56
Siena College	7	81
Simmons University	8	83
Skidmore College	25	32
Smith College	35	37
Soka University of America	20	52
Southern Methodist University	30	53
Southwestern University	13	49
Spelman College	6	53
St. John Fisher College	7	64
St. John’s College Annapolis	20	60
St. John’s University (NY)	8	72
St. Lawrence University	19	47
St. Mary’s College (IN)	7	81
St. Mary’s College of California	8	77
St. Mary’s College of Maryland	9	79
St. Michael’s College	13	88
St. Olaf College	16	51
Stanford University	42	5
Stetson University	11	72
